# data from ifeffit
#------------------------
#   energy    f1
  9454.1040       -2.1276571
  9455.1040       -2.1289601
  9456.1040       -2.1303977
  9457.1040       -2.1303531
  9458.1040       -2.1303385
  9459.1040       -2.1289380
  9460.1040       -2.1277844
  9461.1040       -2.1254946
  9462.1040       -2.1237400
  9463.1040       -2.1213012
  9464.1040       -2.1199580
  9465.1040       -2.1183397
  9466.1040       -2.1179889
  9467.1040       -2.1173465
  9468.1040       -2.1177733
  9469.1040       -2.1176971
  9470.1040       -2.1185424
  9471.1040       -2.1187799
  9472.1040       -2.1198319
  9473.1040       -2.1201833
  9474.1040       -2.1212732
  9475.1040       -2.1216161
  9476.1040       -2.1226704
  9477.1040       -2.1229704
  9478.1040       -2.1239414
  9479.1040       -2.1240830
  9480.1040       -2.1247543
  9481.1040       -2.1243953
  9482.1040       -2.1243867
  9483.1040       -2.1232656
  9484.1040       -2.1224902
  9485.1040       -2.1206921
  9486.1040       -2.1193663
  9487.1040       -2.1171108
  9488.1040       -2.1153704
  9489.1040       -2.1127269
  9490.1040       -2.1106036
  9491.1040       -2.1075783
  9492.1040       -2.1050602
  9493.1040       -2.1016225
  9494.1040       -2.0986545
  9495.1040       -2.0947279
  9496.1040       -2.0912260
  9497.1040       -2.0867197
  9498.1040       -2.0825639
  9499.1040       -2.0773204
  9500.1040       -2.0723656
  9501.1040       -2.0663032
  9502.1040       -2.0605286
  9503.1040       -2.0536726
  9504.1040       -2.0471423
  9505.1040       -2.0395896
  9506.1040       -2.0324361
  9507.1040       -2.0243705
  9508.1040       -2.0168334
  9509.1040       -2.0085127
  9510.1040       -2.0008337
  9511.1040       -1.9924988
  9512.1040       -1.9849466
  9513.1040       -1.9768760
  9514.1040       -1.9696862
  9515.1040       -1.9620465
  9516.1040       -1.9553006
  9517.1040       -1.9480991
  9518.1040       -1.9418647
  9519.1040       -1.9353740
  9520.1040       -1.9302275
  9521.1040       -1.9254391
  9522.1040       -1.9225595
  9523.1040       -1.9202915
  9524.1040       -1.9198860
  9525.1040       -1.9197364
  9526.1040       -1.9208453
  9527.1040       -1.9216812
  9528.1040       -1.9233936
  9529.1040       -1.9244973
  9530.1040       -1.9261202
  9531.1040       -1.9268202
  9532.1040       -1.9278509
  9533.1040       -1.9279002
  9534.1040       -1.9283579
  9535.1040       -1.9280448
  9536.1040       -1.9283221
  9537.1040       -1.9279201
  9538.1040       -1.9281317
  9539.1040       -1.9276384
  9540.1040       -1.9277013
  9541.1040       -1.9270253
  9542.1040       -1.9268924
  9543.1040       -1.9260343
  9544.1040       -1.9257519
  9545.1040       -1.9247790
  9546.1040       -1.9243889
  9547.1040       -1.9232995
  9548.1040       -1.9227579
  9549.1040       -1.9214675
  9550.1040       -1.9206727
  9551.1040       -1.9190884
  9552.1040       -1.9179470
  9553.1040       -1.9159435
  9554.1040       -1.9143053
  9555.1040       -1.9117908
